time	1e4	1e5	1e6	1e7	2e7	3e7	4e7	5e6	5e7	update	watcher
0	0.0018009299441322762	0.025347096579415456	0.400226354598999	3.6842355728149414	8.396668195724487	11.670978307723999	13.755117416381836	2.063309669494629	16.332038402557373	0.0005959811004689365	1
1	0.0017868496369624484	0.018933914325855398	0.18704422314961752	-	-	-	-	-	-	0.0005452981669839909	1
2	0.0017992079039633056	0.01747913019997733	0.17357365290323892	-	-	-	-	-	-	0.00045189417197729237	1
3	0.0018178616062741438	0.017565784783198916	0.17341160774230957	-	-	-	-	-	-	0.00044923602698561187	1
4	0.0018414027655302588	0.017329556601388112	0.1735535462697347	-	-	-	-	0.8811397552490234	-	0.0005302023439899856	1
5	0.0018521430797146675	0.017318265191439926	0.17328917980194092	-	-	-	-	-	-	0.0007362352765124778	1
6	0.0018765698862439804	0.017478449591274918	0.17471853892008463	-	-	-	-	0.888746976852417	-	0.0004919279580828787	1
7	0.001885724431685819	0.01750051975250244	0.17371916770935059	1.763704776763916	-	-	-	0.8829030990600586	-	0.0009206209960879592	1
8	0.0018964402924173127	0.01747853180457806	0.17372727394104004	-	-	-	-	-	-	0.0010130614297002808	1
9	0.0019031601983147699	0.017592898436955044	0.17806148529052734	-	-	-	-	0.8902876377105713	-	0.0007903752788420646	1
10	0.002575765053431193	0.01781311205455235	0.2415623664855957	-	-	-	-	-	-	0.0008691335015688059	1
11	0.0024900879692192654	0.01769963332584926	0.2329198122024536	1.7736647129058838	-	-	-	0.8822901248931885	-	0.0007783881756437927	1
12	0.0019334980085784314	0.01807877847126552	0.18115965525309244	-	-	-	-	-	-	0.0017164138584202506	1
13	0.0019433422993294334	0.017582007816859653	0.17727414766947427	-	-	-	-	0.887854814529419	-	0.0006048018241317538	1
14	0.001963969720787261	0.0173696073992499	0.17866623401641846	1.7648606300354004	-	-	-	-	-	0.0007703082596497279	1
15	0.001974843978881836	0.01732043562264278	0.17895245552062988	-	-	-	-	0.8822841644287109	-	0.0013367413835295404	1
16	0.001891926330624869	0.017220982189836174	0.1773210366566976	-	-	-	-	0.8858480453491211	-	0.0009397418444393246	1
17	0.001764012921241022	0.01712995562060126	0.1768169403076172	-	3.6139512062072754	-	-	-	-	0.00039605473304961945	1
18	0.0017832318941752117	0.017130580441705113	0.17750279108683267	1.7751870155334473	-	-	-	0.8764181137084961	-	0.0004430737717917286	1
19	0.001813728431054147	0.017369747161865234	0.17673945426940918	-	-	-	-	-	-	0.000554150086270565	1
20	0.0017972993154595368	0.017227098859589677	0.17667007446289062	-	-	-	-	0.8692266941070557	-	0.0005523193331443116	1
