time	1e4	1e5	1e6	1e7	2e7	3e7	4e7	5e6	5e7	update	watcher
0	0.003772944211959839	0.02079346776008606	0.38408493995666504	3.6418368816375732	7.106590509414673	10.191694498062134	12.819109439849854	2.1660678386688232	15.390007972717285	0.0015901621951851794	1
1	0.00201355336142368	0.017077585746502054	0.1771411895751953	-	-	-	-	-	-	0.00030360457947972046	1
2	0.0017911304127086294	0.01698228408550394	0.1744530995686849	-	-	-	-	-	-	0.00028470097399177437	1
3	0.0018276170448020652	0.017105480720256937	0.17460195223490396	-	-	-	-	-	-	0.00029226461538491537	1
4	0.002516447281350895	0.01715549929388638	0.23890244960784912	-	-	-	-	-	-	0.00037147596680956016	1
5	0.002503858672247993	0.017120186487833658	0.2365487813949585	-	-	-	-	0.8819100856781006	-	0.0004335008760116875	1
6	0.001917580222341337	0.01709608373970821	0.17449506123860678	-	-	-	-	0.8770947456359863	-	0.000561818462731017	1
7	0.0019313036226758769	0.01717463855085702	0.17422954241434732	1.7740366458892822	-	-	-	-	-	0.0005684688796623995	1
8	0.0019604251498267764	0.01730305573035931	0.174973726272583	-	-	-	-	0.8845369815826416	-	0.0005987369784161398	1
9	0.0019499054030766563	0.017270976099474675	0.17611050605773926	-	-	-	-	-	-	0.00048158820993377997	1
10	0.0019717693328857424	0.0171894698307432	0.17549538612365723	-	-	-	-	0.875880241394043	-	0.0005223339730566674	1
11	0.0019833189416601955	0.01717491807608769	0.17583362261454263	1.7585654258728027	-	-	-	-	-	0.0005156610739477036	1
12	0.002002335176235292	0.017407945224217007	0.1757054328918457	-	-	-	-	0.8814830780029297	-	0.0006070288304750084	1
13	0.002083434334284143	0.01818603277206421	0.17525752385457358	-	-	-	-	0.876481294631958	-	0.0005630050668187237	1
14	0.002026184105578764	0.02194059413412343	0.17275691032409668	-	3.558751106262207	-	-	-	-	0.0007360567573372644	1
15	0.0020428620094110157	0.018936817462627705	0.17477265993754068	1.7694199085235596	-	-	-	0.8754901885986328	-	0.0007367626635614269	1
16	0.0017886491255326704	0.01713557901053593	0.17443549633026123	-	-	-	-	-	-	0.00027626490489489087	1
17	0.001800062018873054	0.01711397335447114	0.17272313435872397	-	-	-	-	0.8723716735839844	-	0.00027743074532182824	1
18	0.00178720121798308	0.017210985052174534	0.17578713099161783	1.7580070495605469	-	-	-	-	-	0.0002376787597931767	1
19	0.0017751838326023803	0.017111802923268284	0.17269142468770346	-	-	-	-	0.8727743625640869	-	0.0002235991325130834	1
20	0.0017595546586172922	0.01696301301320394	0.17119487126668295	-	-	-	-	0.8716602325439453	-	0.0002121080572788532	1
21	0.0017731035356041338	0.017401251299627895	0.17191203435262045	-	-	5.2453296184539795	-	-	-	0.00021304691647128755	1
22	0.001793302758766787	0.01733673470360892	0.17299469312032065	1.7642760276794434	3.532149314880371	-	-	0.8705296516418457	-	0.00030166800283899754	1
23	0.0018235639289573386	0.017375839167627794	0.17190210024515787	-	-	-	-	-	-	0.00028584328700365205	1
24	0.0018525553825206327	0.017520181063948006	0.173262357711792	-	-	-	-	0.8680567741394043	-	0.00040776646655538807	1
25	0.002341166982110941	0.01761432204927717	0.17397046089172363	2.271052360534668	-	-	-	-	-	0.00042824840719365466	1
26	0.003939259619939895	0.017541885375976562	0.16985408465067545	-	-	-	6.976156234741211	0.8734307289123535	-	0.00028826505979904994	1
27	0.002609969446898768	0.017186896554354965	0.17314362525939941	-	-	-	-	0.8709020614624023	-	0.00035703517128865466	1
28	0.0018142756500807195	0.01808819600514003	0.1719505786895752	-	-	-	-	-	-	0.000294641303156394	1
29	0.0018334663490380497	0.018519004185994465	0.1731130282084147	-	3.548468589782715	-	-	0.8740732669830322	-	0.0004826497086046775	1
30	0.0018469849775792954	0.01739518395785628	0.17195836702982584	1.7692348957061768	-	-	-	-	-	0.0006090160171915405	1
31	0.0018703330152388309	0.017641118594578335	0.17385427157084146	-	-	5.225127458572388	-	0.8755960464477539	8.841522216796875	0.0003782790640126104	1
32	0.0019117806308953337	0.017959330763135637	0.1889817714691162	-	-	-	-	-	-	0.00039248676316505675	1
33	0.0018362331746229485	0.017764534269060408	0.19080424308776855	1.7727007865905762	-	-	-	0.9501004219055176	-	0.0004096881492988213	1
34	0.0018313516028308514	0.017272661472189015	0.17661539713541666	-	-	-	-	0.8739101886749268	-	0.00033132708397623116	1
35	0.0018438989303531717	0.018862577585073616	0.17370216051737467	-	-	-	-	-	-	0.0004068329516384337	1
36	0.0018655206217910304	0.018606353689123084	0.1740290323893229	-	3.531855583190918	-	-	0.8735253810882568	-	0.00034935454632342987	1
37	0.0018859896166571256	0.01838391798513907	0.17638754844665527	1.7582652568817139	-	-	-	-	-	0.0008170363065358755	1
38	0.001907579687111166	0.017902936254228865	0.17613756656646729	-	-	-	-	0.8711369037628174	-	0.000534759437181673	1
39	0.0019142599885101912	0.017351997309717638	0.17452518145243326	-	-	-	-	-	-	0.0005177166932438007	1
40	0.0018191724685725252	0.017647998673575267	0.17344951629638672	1.7476372718811035	-	-	7.090045690536499	0.8762552738189697	-	0.0002677051015308121	1
41	0.0017863750457763673	0.017452593507437872	0.17325878143310547	-	-	-	-	0.8692483901977539	-	0.0003388348645032936	1
42	0.001812882283154656	0.01761509690965925	0.1724553902943929	-	-	5.238666296005249	-	-	-	0.00027817393106127544	1
43	0.0018424407373206892	0.01718156913231159	0.17348869641621908	-	3.6045773029327393	-	-	0.8851261138916016	-	0.0003205464844577667	1
44	0.0018785344330530204	0.017601617744990757	0.17412940661112467	1.752906322479248	-	-	-	-	-	0.00033371157928271033	1
45	0.0018950205582838793	0.017819489751543318	0.1738278865814209	-	-	-	-	0.870657205581665	-	0.000378437340259552	1
46	0.0019442045641510854	0.01761088700130068	0.17284107208251953	-	-	-	-	-	-	0.000492283453543981	1
47	0.001869010202812426	0.01735023089817592	0.1719785531361898	1.738656997680664	-	-	-	0.8719935417175293	-	0.00025950556025721187	1
