time	1e4	1e5	1e6	1e7	2e7	3e7	4e7	5e6	5e7	update	watcher
65	0.49114513397216797	0.5572524070739746	1.0339796543121338	-	-	-	-	-	-	0.5000424385070801	1
66	0.5093450546264648	0.4418501853942871	-	-	-	-	-	-	-	0.49945831298828125	1
67	0.48929595947265625	0.5692307949066162	1.1032426357269287	-	-	-	-	1.6150927543640137	-	0.5002052783966064	1
68	0.5110185146331787	0.41935276985168457	-	-	-	-	-	-	8.95537543296814	0.4994688034057617	1
69	0.48908448219299316	0.5811283588409424	-	2.3834738731384277	3.4793641567230225	-	-	-	-	0.524932861328125	1
70	0.5108757019042969	0.43187808990478516	0.7589797973632812	-	-	-	-	1.3851377964019775	-	0.4500894546508789	1
71	0.4888589382171631	0.5536313056945801	0.23938608169555664	-	-	-	-	-	-	0.5497226715087891	1
72	0.5109641551971436	0.446091890335083	0.773982048034668	-	-	6.898976802825928	9.250722885131836	-	-	0.46800708770751953	1
73	0.4893765449523926	0.5569136142730713	0.22831058502197266	2.740044593811035	-	-	-	1.6195480823516846	-	0.5136492252349854	1
74	0.5083673000335693	0.4393181800842285	0.897183895111084	-	-	-	-	-	-	0.48606085777282715	1
75	0.4911923408508301	0.560603141784668	1.095179557800293	-	-	-	-	-	-	0.513662576675415	1
76	0.5096414089202881	0.4394829273223877	-	-	3.703352928161621	-	-	1.5003108978271484	-	0.48601531982421875	1
77	0.48904991149902344	0.5599844455718994	-	-	-	-	-	-	-	0.5137035846710205	1
78	0.5117995738983154	0.439469575881958	0.770658016204834	-	-	-	-	-	-	0.48601675033569336	1
79	0.4880106449127197	0.5603804588317871	0.22798585891723633	2.2413763999938965	-	-	-	1.4739830493927002	-	0.5136599540710449	1
80	0.5116667747497559	0.439037561416626	0.7724947929382324	-	-	-	-	-	-	0.4859306812286377	1
81	0.48796629905700684	0.56162428855896	0.22614169120788574	-	-	-	-	-	-	0.5237982273101807	1
